Proyecto,Tipo,Capacidad,Departamento,Municipio,Código Departamento,Código Municipio,Fecha estimada FPO,Energía [kWh/día],Usuarios,Inversión estimada [COP],Empleos estimados,Emisiones CO2 [Ton/año]
CORONA MADRID,Solar,4,CUNDINAMARCA,MADRID,25,25430,2023-01-29T00:00:00.000,19200,3329,15000000000,28,5606
ETERNIT SOACHA,Solar,0.94,CUNDINAMARCA,SOACHA,25,25754,2023-01-29T00:00:00.000,4512,782,3525000000,7,1318
CLUB LAGARTOS,Solar,0.1,BOGOTÁ D.C.,BOGOTÁ D.C.,11,11001,2023-01-29T00:00:00.000,480,83,375000000,1,140
GASEOSAS LUX,Solar,1.8,BOGOTÁ D.C.,BOGOTÁ D.C.,11,11001,2023-01-29T00:00:00.000,8640,1498,6750000000,13,2523
CENTRAL CERVECERA SESQUILÉ,Solar,3.5,CUNDINAMARCA,SESQUILÉ,25,25736,2023-01-29T00:00:00.000,16800,2913,13125000000,24,4906
CARVAJAL GINEBRA,Solar,4.15,VALLE DEL CAUCA,GINEBRA,76,76306,2023-01-29T00:00:00.000,19920,3454,15562500000,29,5817
ÉXITO CALI,Solar,0.61,VALLE DEL CAUCA,CALI,76,76001,2023-01-29T00:00:00.000,2928,508,2287500000,4,855
ÉXITO POPAYÁN,Solar,0.3,CAUCA,POPAYÁN,19,19001,2023-01-29T00:00:00.000,1440,250,1125000000,2,420
POSTOBON MALAMBO,Solar,5.5,ATLÁNTICO,MALAMBO,08,08433,2023-01-29T00:00:00.000,26400,4578,20625000000,38,7709
HIPINTO PIEDECUESTA,Solar,1.3,SANTANDER,PIEDECUESTA,68,68547,2023-01-29T00:00:00.000,6240,1082,4875000000,9,1822
WINDPESHI,Eólico,195.03,LA GUAJIRA,MAICAO,44,44430,2024-01-01T00:00:00.000,1872288,324674,731363000000,542,546708
SOL DE GAMARRITA 1-3,Solar,45,CESAR,AGUACHICA,20,20011,2023-02-09T00:00:00.000,216000,37457,168750000000,313,63072
CASA ELÉCTRICA (AES),Eólico,176.3,LA GUAJIRA,URIBIA,44,44847,2024-01-01T00:00:00.000,1692480,293494,661125000000,490,494204
APOTOLORRU (AES),Eólico,75,LA GUAJIRA,URIBIA,44,44847,2024-01-01T00:00:00.000,720000,124855,281250000000,209,210240
PV LA MATA,Solar,80,CESAR,LA GLORIA,20,20383,2023-12-31T00:00:00.000,384000,66590,344000000000,557,112128
PV LA UNIÓN,Solar,100,CÓRDOBA,MONTERÍA,23,23001,2023-12-31T00:00:00.000,480000,83237,375000000000,696,140160
PÉTALO DEL CESAR II,Solar,19.9,NORTE DE SANTANDER,LA ESPERANZA,54,54385,2024-02-29T00:00:00.000,95520,16564,74625000000,139,27892
PÉTALO DEL CESAR I,Solar,9.9,CESAR,CHIRIGUANÁ,20,20178,2024-02-29T00:00:00.000,47520,8240,37125000000,69,13876
SEBASTOSOL,Solar,700,SANTANDER,CIMITARRA,68,68190,2023-12-31T00:00:00.000,3360000,582659,2625000000000,4872,981120
BOSQUES SOLARES DE BOLÍVAR (5X19.9),Solar,99.5,ATLÁNTICO,SABANALARGA,08,08638,2023-12-31T00:00:00.000,477600,82821,373125000000,693,139459
AQUASOL,Solar,1.5,CÓRDOBA,"""""",23,23,2022-10-31T00:00:00.000,7200,1249,5625000000,10,2102
CARACOLÍ I,Solar,50,ATLÁNTICO,MALAMBO,08,08433,2023-08-31T00:00:00.000,240000,41618,187500000000,348,70080
PARQUE EÓLICO VIENTOS DE GALERAZAMBA,Eólico,9.9,BOLÍVAR,SANTA CATALINA,13,13673,2024-01-01T00:00:00.000,95040,16481,37125000000,28,27752
GUAYEPO FASE II,Solar,200,ATLÁNTICO,SABANALARGA,08,08638,2023-12-31T00:00:00.000,960000,166474,750000000000,1392,280320
SIERRA,Solar,200,ANTIOQUIA,PUERTO NARE,05,05585,2023-05-12T00:00:00.000,960000,166474,750000000000,1392,280320
TEPUY,Solar,83,CALDAS,LA DORADA,17,17380,2023-07-31T00:00:00.000,398400,69087,311250000000,578,116333
SHANGRI-LA,Solar,160,TOLIMA,IBAGUÉ,73,73001,2023-06-30T00:00:00.000,768000,133179,600000000000,1114,224256
CHEMESKY (ENEL GREEN POWER),Eólico,98.85,LA GUAJIRA,URIBIA,44,44847,2024-01-01T00:00:00.000,948960,164560,370688000000,275,277096
PUERTA DE ORO Fase 2,Solar,180,CUNDINAMARCA,GUADUAS,25,25320,2021-12-31T00:00:00.000,864000,149827,675000000000,1253,252288
ACACIAS 2 (CELSIA),Eólico,80,LA GUAJIRA,MAICAO,44,44430,2023-11-01T00:00:00.000,768000,133179,300000000000,222,224256
TUMAWIND (ENEL GREEN POWER),Eólico,197.77,LA GUAJIRA,URIBIA,44,44847,2024-01-01T00:00:00.000,1898592,329236,741638000000,550,554389
CAMELIA (CELSIA),Eólico,250,LA GUAJIRA,URIBIA,44,44847,2023-12-01T00:00:00.000,2400000,416185,937500000000,695,700800
ESCOBAL 1 AL 5,Solar,99.5,TOLIMA,ALVARADO,73,73026,2023-12-31T00:00:00.000,477600,82821,373125000000,693,139459
Parque Fotovoltaico Sunnorte,Solar,35,NORTE DE SANTANDER,"""""",54,54,2023-12-31T00:00:00.000,168000,29133,131250000000,244,49056
Pubenza PSR2,Solar,50,BOGOTÁ D.C.,BOGOTÁ D.C.,11,11001,2023-12-31T00:00:00.000,240000,41618,187500000000,348,70080
SABANALARGA,Solar,200,ATLÁNTICO,SABANALARGA,08,08638,2024-04-09T00:00:00.000,960000,166474,750000000000,1392,280320
PARQUE SOLAR FOTOVOLTAICO FUNDACIÓN,Solar,99,MAGDALENA,FUNDACIÓN,47,47288,2024-06-30T00:00:00.000,475200,82405,371250000000,689,138758
TULUÁ,Solar,13.3,VALLE DEL CAUCA,TULUÁ,76,76834,2022-04-30T00:00:00.000,63840,11071,57190000000,93,18641
Parque Fotovoltaico Montelíbano Solar,Solar,9.9,CÓRDOBA,"""""",23,23,2022-10-30T00:00:00.000,47520,8240,37125000000,69,13876
BUGA 1 PARTE 2,Solar,5.94,VALLE DEL CAUCA,"""""",76,76,2022-12-31T00:00:00.000,28512,4944,22275000000,41,8326
BUGA 1 PARTE 1,Solar,3.96,VALLE DEL CAUCA,"""""",76,76,2022-07-31T00:00:00.000,19008,3296,14850000000,28,5550
REFINERÍA GRB,Solar,21,SANTANDER,BARRANCABERMEJA,68,68081,2023-12-31T00:00:00.000,100800,17480,78750000000,146,29434
EMSA GD Y AG (34 Proyectos),Solar,1.9,META,VILLAVICENCIO,50,50001,2022-05-31T00:00:00.000,9120,1582,8170000000,13,2663
ENELAR GD Y AG (4 Proyectos),Solar,0.11,ARAUCA,ARAUCA,81,81001,2022-05-31T00:00:00.000,528,92,473000000,1,154
